transaction_id,date,amount,type
TXN_0001,2026-03-09,400.31,payment
TXN_0002,2026-03-17,368.68,payment
TXN_0003,2026-03-23,86.45,payment
TXN_0004,2026-03-21,58.99,payment
TXN_0005,2026-03-13,434.43,payment
TXN_0006,2026-03-06,80.0,payment
TXN_0007,2026-03-05,20.09,payment
TXN_0008,2026-03-04,363.78,payment
TXN_0009,2026-03-08,10.38,payment
TXN_0010,2026-03-23,312.57,payment
TXN_0011,2026-03-24,13.45,payment
TXN_0012,2026-03-27,152.7,payment
TXN_0013,2026-03-12,32.87,payment
TXN_0014,2026-03-18,124.06,payment
TXN_0015,2026-03-17,313.01,payment
TXN_0016,2026-03-14,261.97,payment
TXN_0017,2026-03-27,32.76,payment
TXN_0018,2026-03-21,343.35,payment
TXN_0019,2026-03-11,41.88,payment
TXN_0020,2026-03-06,471.68,payment
TXN_0021,2026-03-16,406.11,payment
TXN_0022,2026-03-11,17.82,payment
TXN_0023,2026-03-04,345.27,payment
TXN_0024,2026-03-17,344.8,payment
TXN_0025,2026-03-14,252.64,payment
TXN_0026,2026-03-17,94.95,payment
TXN_0027,2026-03-19,136.8,payment
TXN_0028,2026-03-10,380.13,payment
TXN_0029,2026-03-08,111.89,payment
TXN_0030,2026-03-06,100.58,payment
TXN_0031,2026-03-20,389.82,payment
TXN_0032,2026-03-04,203.62,payment
TXN_0033,2026-03-06,302.97,payment
TXN_0034,2026-03-18,170.0,payment
TXN_0035,2026-03-16,106.03,payment
TXN_0036,2026-03-27,480.97,payment
TXN_0037,2026-03-23,200.45,payment
TXN_0038,2026-03-20,274.45,payment
TXN_0039,2026-03-26,184.81,payment
TXN_0040,2026-03-15,79.05,payment
TXN_0041,2026-03-17,90.98,payment
TXN_0042,2026-03-27,493.57,payment
TXN_0043,2026-03-26,203.49,payment
TXN_0044,2026-03-10,12.71,payment
TXN_0045,2026-03-13,107.43,payment
TXN_0046,2026-03-10,367.21,payment
TXN_0047,2026-03-03,306.92,payment
TXN_0048,2026-03-12,185.65,payment
TXN_0049,2026-03-11,458.33,payment
TXN_0050,2026-04-02,315.42,payment
TXN_0006,2026-03-06,80.0,payment
REF_9999,2026-03-15,-50.0,refund
